Speaker,Age,Gender,Adjective,Gender.N1,Gender.N2,Case.Prep,Position,Agreement,Agreement2,AgreementComb
42,59,male,blond,fem,masc,GEN,non-initial,N1,N1,N1fem-N2masc
42,59,male,fleissig,masc,neut,DAT,non-initial,N2,N2,N1masc-N2neut
42,59,male,verstopft,neut,masc,DAT,non-initial,N2,N2,N1neut-N2masc
42,59,male,verschlafen,neut,fem,GEN,initial,N2,N2,N1neut-N2fem
43,50,male,krank,masc,fem,GEN,non-initial,N1,N1,N1masc-N2fem
43,50,male,gesund,fem,neut,GEN,initial,O,Ø,N1fem-N2neut
43,50,male,traurig,neut,fem,DAT,non-initial,O,Ø,N1neut-N2fem
43,50,male,voll,fem,masc,DAT,initial,O,Ø,N1fem-N2masc
43,50,male,koestlich,masc,fem,DAT,initial,O,Ø,N1masc-N2fem
43,50,male,verletzt,neut,masc,GEN,initial,N1,N1,N1neut-N2masc
43,50,male,straff,fem,neut,DAT,non-initial,N1,N1,N1fem-N2neut
43,50,male,steinig,masc,neut,GEN,initial,O,Ø,N1masc-N2neut
43,50,male,blond,fem,masc,GEN,non-initial,O,Ø,N1fem-N2masc
43,50,male,fleissig,masc,neut,DAT,non-initial,N1,N1,N1masc-N2neut
43,50,male,verstopft,neut,masc,DAT,non-initial,N1,N1,N1neut-N2masc
43,50,male,verschlafen,neut,fem,GEN,initial,N1,N1,N1neut-N2fem
