Speaker,Age,Sex,Adjective,Gender.N1,Gender.N2,Case.Prep,Position,Agreement,AgreementNO,AgreementNN1,AgreementNN2,AgeF
27,18,male,verschlafen,neut,fem,GEN,initial,N2,NO,NN1,N2,"[16,30]"
29,27,female,krank,masc,fem,GEN,non-initial,N1,NO,N1,NN2,"[16,30]"
29,27,female,gesund,fem,neut,GEN,initial,N1,NO,N1,NN2,"[16,30]"
29,27,female,koestlich,masc,fem,DAT,initial,N2,NO,NN1,N2,"[16,30]"
29,27,female,verletzt,neut,masc,GEN,initial,N2,NO,NN1,N2,"[16,30]"
29,27,female,straff,fem,neut,DAT,non-initial,N1,NO,N1,NN2,"[16,30]"
29,27,female,steinig,masc,neut,GEN,initial,N2,NO,NN1,N2,"[16,30]"
29,27,female,blond,fem,masc,GEN,non-initial,N1,NO,N1,NN2,"[16,30]"
29,27,female,fleissig,masc,neut,DAT,non-initial,N2,NO,NN1,N2,"[16,30]"
29,27,female,verstopft,neut,masc,DAT,non-initial,N2,NO,NN1,N2,"[16,30]"
29,27,female,verschlafen,neut,fem,GEN,initial,N2,NO,NN1,N2,"[16,30]"
30,58,female,gesund,fem,neut,GEN,initial,N1,NO,N1,NN2,"(30,70]"
30,58,female,koestlich,masc,fem,DAT,initial,N1,NO,N1,NN2,"(30,70]"
30,58,female,verletzt,neut,masc,GEN,initial,N1,NO,N1,NN2,"(30,70]"
30,58,female,straff,fem,neut,DAT,non-initial,N1,NO,N1,NN2,"(30,70]"
30,58,female,steinig,masc,neut,GEN,initial,N2,NO,NN1,N2,"(30,70]"
30,58,female,blond,fem,masc,GEN,non-initial,N1,NO,N1,NN2,"(30,70]"
30,58,female,fleissig,masc,neut,DAT,non-initial,N1,NO,N1,NN2,"(30,70]"
30,58,female,verstopft,neut,masc,DAT,non-initial,N1,NO,N1,NN2,"(30,70]"
30,58,female,verschlafen,neut,fem,GEN,initial,N1,NO,N1,NN2,"(30,70]"
31,26,female,krank,masc,fem,GEN,non-initial,N1,NO,N1,NN2,"[16,30]"
31,26,female,gesund,fem,neut,GEN,initial,N1,NO,N1,NN2,"[16,30]"
31,26,female,traurig,neut,fem,DAT,non-initial,N1,NO,N1,NN2,"[16,30]"
31,26,female,voll,fem,masc,DAT,initial,N1,NO,N1,NN2,"[16,30]"
31,26,female,koestlich,masc,fem,DAT,initial,N1,NO,N1,NN2,"[16,30]"
31,26,female,verletzt,neut,masc,GEN,initial,N1,NO,N1,NN2,"[16,30]"
31,26,female,straff,fem,neut,DAT,non-initial,N1,NO,N1,NN2,"[16,30]"
31,26,female,steinig,masc,neut,GEN,initial,N1,NO,N1,NN2,"[16,30]"
31,26,female,blond,fem,masc,GEN,non-initial,N1,NO,N1,NN2,"[16,30]"
31,26,female,fleissig,masc,neut,DAT,non-initial,N1,NO,N1,NN2,"[16,30]"
31,26,female,verstopft,neut,masc,DAT,non-initial,N1,NO,N1,NN2,"[16,30]"
31,26,female,verschlafen,neut,fem,GEN,initial,N1,NO,N1,NN2,"[16,30]"
32,55,male,krank,masc,fem,GEN,non-initial,N1,NO,N1,NN2,"(30,70]"
32,55,male,gesund,fem,neut,GEN,initial,N1,NO,N1,NN2,"(30,70]"
32,55,male,straff,fem,neut,DAT,non-initial,N1,NO,N1,NN2,"(30,70]"
32,55,male,steinig,masc,neut,GEN,initial,N2,NO,NN1,N2,"(30,70]"
32,55,male,blond,fem,masc,GEN,non-initial,N1,NO,N1,NN2,"(30,70]"
32,55,male,fleissig,masc,neut,DAT,non-initial,N1,NO,N1,NN2,"(30,70]"
32,55,male,verstopft,neut,masc,DAT,non-initial,N1,NO,N1,NN2,"(30,70]"
32,55,male,verschlafen,neut,fem,GEN,initial,N1,NO,N1,NN2,"(30,70]"
33,61,female,krank,masc,fem,GEN,non-initial,N2,NO,NN1,N2,"(30,70]"
33,61,female,traurig,neut,fem,DAT,non-initial,N2,NO,NN1,N2,"(30,70]"
33,61,female,voll,fem,masc,DAT,initial,N2,NO,NN1,N2,"(30,70]"
33,61,female,koestlich,masc,fem,DAT,initial,N2,NO,NN1,N2,"(30,70]"
33,61,female,verletzt,neut,masc,GEN,initial,N2,NO,NN1,N2,"(30,70]"
33,61,female,straff,fem,neut,DAT,non-initial,N1,NO,N1,NN2,"(30,70]"
33,61,female,steinig,masc,neut,GEN,initial,N2,NO,NN1,N2,"(30,70]"
33,61,female,blond,fem,masc,GEN,non-initial,N1,NO,N1,NN2,"(30,70]"
33,61,female,verstopft,neut,masc,DAT,non-initial,N2,NO,NN1,N2,"(30,70]"
33,61,female,verschlafen,neut,fem,GEN,initial,N2,NO,NN1,N2,"(30,70]"
34,58,female,straff,fem,neut,DAT,non-initial,N1,NO,N1,NN2,"(30,70]"
34,58,female,steinig,masc,neut,GEN,initial,N1,NO,N1,NN2,"(30,70]"
34,58,female,blond,fem,masc,GEN,non-initial,N1,NO,N1,NN2,"(30,70]"
34,58,female,verstopft,neut,masc,DAT,non-initial,N2,NO,NN1,N2,"(30,70]"
36,45,female,krank,masc,fem,GEN,non-initial,N2,NO,NN1,N2,"(30,70]"
36,45,female,traurig,neut,fem,DAT,non-initial,N1,NO,N1,NN2,"(30,70]"
36,45,female,voll,fem,masc,DAT,initial,N1,NO,N1,NN2,"(30,70]"
36,45,female,koestlich,masc,fem,DAT,initial,N2,NO,NN1,N2,"(30,70]"
36,45,female,verletzt,neut,masc,GEN,initial,N2,NO,NN1,N2,"(30,70]"
36,45,female,straff,fem,neut,DAT,non-initial,N1,NO,N1,NN2,"(30,70]"
36,45,female,steinig,masc,neut,GEN,initial,N2,NO,NN1,N2,"(30,70]"
36,45,female,blond,fem,masc,GEN,non-initial,N1,NO,N1,NN2,"(30,70]"
36,45,female,fleissig,masc,neut,DAT,non-initial,N2,NO,NN1,N2,"(30,70]"
36,45,female,verstopft,neut,masc,DAT,non-initial,N2,NO,NN1,N2,"(30,70]"
