Speaker,Age,Sex,Adjective,Gender.N1,Gender.N2,Case.Prep,Position,Agreement,AgreementNO,AgreementNN1,AgreementNN2,AgeF
4,18,female,gesund,fem,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
4,18,female,traurig,neut,fem,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
4,18,female,voll,fem,masc,DAT,initial,O,O,NN1,NN2,"[16,30]"
4,18,female,koestlich,masc,fem,DAT,initial,O,O,NN1,NN2,"[16,30]"
4,18,female,verletzt,neut,masc,GEN,initial,O,O,NN1,NN2,"[16,30]"
4,18,female,steinig,masc,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
4,18,female,blond,fem,masc,GEN,non-initial,O,O,NN1,NN2,"[16,30]"
4,18,female,fleissig,masc,neut,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
4,18,female,verstopft,neut,masc,DAT,non-initial,N2,NO,NN1,N2,"[16,30]"
5,17,male,krank,masc,fem,GEN,non-initial,O,O,NN1,NN2,"[16,30]"
5,17,male,gesund,fem,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
5,17,male,voll,fem,masc,DAT,initial,O,O,NN1,NN2,"[16,30]"
5,17,male,koestlich,masc,fem,DAT,initial,O,O,NN1,NN2,"[16,30]"
5,17,male,verletzt,neut,masc,GEN,initial,N2,NO,NN1,N2,"[16,30]"
5,17,male,straff,fem,neut,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
5,17,male,verstopft,neut,masc,DAT,non-initial,N2,NO,NN1,N2,"[16,30]"
5,17,male,verschlafen,neut,fem,GEN,initial,N2,NO,NN1,N2,"[16,30]"
8,18,female,krank,masc,fem,GEN,non-initial,O,O,NN1,NN2,"[16,30]"
8,18,female,gesund,fem,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
8,18,female,traurig,neut,fem,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
8,18,female,voll,fem,masc,DAT,initial,O,O,NN1,NN2,"[16,30]"
8,18,female,koestlich,masc,fem,DAT,initial,O,O,NN1,NN2,"[16,30]"
8,18,female,verletzt,neut,masc,GEN,initial,O,O,NN1,NN2,"[16,30]"
8,18,female,straff,fem,neut,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
8,18,female,steinig,masc,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
8,18,female,blond,fem,masc,GEN,non-initial,O,O,NN1,NN2,"[16,30]"
8,18,female,fleissig,masc,neut,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
8,18,female,verstopft,neut,masc,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
8,18,female,verschlafen,neut,fem,GEN,initial,O,O,NN1,NN2,"[16,30]"
12,18,male,krank,masc,fem,GEN,non-initial,O,O,NN1,NN2,"[16,30]"
12,18,male,gesund,fem,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
12,18,male,traurig,neut,fem,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
12,18,male,voll,fem,masc,DAT,initial,O,O,NN1,NN2,"[16,30]"
12,18,male,koestlich,masc,fem,DAT,initial,O,O,NN1,NN2,"[16,30]"
12,18,male,verletzt,neut,masc,GEN,initial,O,O,NN1,NN2,"[16,30]"
12,18,male,straff,fem,neut,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
12,18,male,steinig,masc,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
12,18,male,blond,fem,masc,GEN,non-initial,O,O,NN1,NN2,"[16,30]"
12,18,male,fleissig,masc,neut,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
12,18,male,verstopft,neut,masc,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
12,18,male,verschlafen,neut,fem,GEN,initial,O,O,NN1,NN2,"[16,30]"
15,16,female,traurig,neut,fem,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
15,16,female,steinig,masc,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
16,17,female,krank,masc,fem,GEN,non-initial,O,O,NN1,NN2,"[16,30]"
16,17,female,gesund,fem,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
16,17,female,traurig,neut,fem,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
16,17,female,voll,fem,masc,DAT,initial,O,O,NN1,NN2,"[16,30]"
16,17,female,koestlich,masc,fem,DAT,initial,O,O,NN1,NN2,"[16,30]"
16,17,female,verletzt,neut,masc,GEN,initial,O,O,NN1,NN2,"[16,30]"
16,17,female,straff,fem,neut,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
16,17,female,steinig,masc,neut,GEN,initial,O,O,NN1,NN2,"[16,30]"
16,17,female,blond,fem,masc,GEN,non-initial,O,O,NN1,NN2,"[16,30]"
16,17,female,fleissig,masc,neut,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
16,17,female,verstopft,neut,masc,DAT,non-initial,O,O,NN1,NN2,"[16,30]"
16,17,female,verschlafen,neut,fem,GEN,initial,O,O,NN1,NN2,"[16,30]"
17,17,female,krank,masc,fem,GEN,non-initial,N2,NO,NN1,N2,"[16,30]"
17,17,female,gesund,fem,neut,GEN,initial,N2,NO,NN1,N2,"[16,30]"
17,17,female,traurig,neut,fem,DAT,non-initial,N2,NO,NN1,N2,"[16,30]"
17,17,female,voll,fem,masc,DAT,initial,N2,NO,NN1,N2,"[16,30]"
17,17,female,koestlich,masc,fem,DAT,initial,N2,NO,NN1,N2,"[16,30]"
17,17,female,verletzt,neut,masc,GEN,initial,N2,NO,NN1,N2,"[16,30]"
17,17,female,straff,fem,neut,DAT,non-initial,N2,NO,NN1,N2,"[16,30]"
17,17,female,steinig,masc,neut,GEN,initial,N2,NO,NN1,N2,"[16,30]"
